dataset,generator,local,alpha_global,auc,ap
genvideo,Gen2,L2,0.5,0.8896901911363159,0.9094239435024659
genvideo,Gen2,L2,0.6,0.8934695967233774,0.911935488222726
genvideo,Gen2,L2,0.8,0.8955967758874186,0.9093010714668859
genvideo,Gen2,L3,0.2,0.8671489708044529,0.8809539895453137
genvideo,Gen2,L3,0.4,0.88207493173703,0.8965533574225466
genvideo,Gen2,L3,0.5,0.8861932892249528,0.900417733880681
genvideo,Gen2,L3,0.6,0.8886019218651543,0.9020765477492281
genvideo,Gen2,L3,0.8,0.8884123608485612,0.899409223184637
genvideo,Gen2,P0,0.2,0.9049348876286494,0.9187195918195745
genvideo,Gen2,P0,0.4,0.9100325561856754,0.9231824836043878
genvideo,Gen2,P0,0.5,0.909688615837009,0.9223358145306526
genvideo,Gen2,P0,0.6,0.9079720646922915,0.919746337924709
genvideo,Gen2,P0,0.8,0.9001412518378491,0.9091807787941806
genvideo,Lavie,L0,0.2,0.8467627551020408,0.8359715532189854
genvideo,Lavie,L0,0.4,0.8597423469387755,0.8540227978519244
genvideo,Lavie,L0,0.5,0.8631811224489796,0.8590114561551088
genvideo,Lavie,L0,0.6,0.8650663265306122,0.8623343587726192
genvideo,Lavie,L0,0.8,0.8645734693877551,0.8607085624937436
genvideo,Lavie,L1,0.2,0.8571275510204082,0.8526129597049898
genvideo,Lavie,L1,0.4,0.8566479591836735,0.851841161069556
genvideo,Lavie,L1,0.5,0.8564658163265306,0.8514635631765151
genvideo,Lavie,L1,0.6,0.8562913265306122,0.8510219028005871
genvideo,Lavie,L1,0.8,0.8557030612244898,0.8497630914718792
genvideo,Lavie,L2,0.2,0.804273724489796,0.7933551156972048
genvideo,Lavie,L2,0.4,0.8252829081632653,0.8211727719601534
genvideo,Lavie,L2,0.5,0.8342823979591837,0.8326818046548852
genvideo,Lavie,L2,0.6,0.8422466836734693,0.8424350058049866
genvideo,Lavie,L2,0.8,0.853972193877551,0.8531131931857014
genvideo,Lavie,L3,0.2,0.841195663265306,0.8312905583806243
genvideo,Lavie,L3,0.4,0.8548614795918368,0.848292385414287
genvideo,Lavie,L3,0.5,0.8587354591836734,0.8531826358507876
genvideo,Lavie,L3,0.6,0.8608676020408164,0.8561386644383565
genvideo,Lavie,L3,0.8,0.8608982142857142,0.8562141748086385
genvideo,Lavie,P0,0.2,0.8504033163265305,0.8402555830487968
genvideo,Lavie,P0,0.4,0.8630676020408163,0.8576062394326955
genvideo,Lavie,P0,0.5,0.8660553571428571,0.8618313558469527
genvideo,Lavie,P0,0.6,0.8674477040816326,0.8642228304026881
genvideo,Lavie,P0,0.8,0.8659278061224489,0.8612555873456696
